id;code;date;details;status;payment_method;payment_date;payment_amount;product_order_id
1;Texas Concrete;2020-11-04T15:07:16;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2020-11-04T02:59:58;75071;94375
2;program Unbranded;2020-11-04T15:16:16;Marketing Consultant Berkshire;ISSUED;CASH_ON_DELIVERY;2020-11-04T07:40:47;8068;31806
3;Indian Rupee Ngultrum;2020-11-04T17:14:27;program PNG parse;ISSUED;CASH_ON_DELIVERY;2020-11-04T14:40:48;92121;74564
4;transmitting EXE parse;2020-11-04T13:38:17;open architecture;PAID;PAYPAL;2020-11-04T20:42:21;99574;33894
5;attitude-oriented;2020-11-04T08:09:14;Integration structure;CANCELLED;PAYPAL;2020-11-04T10:16:44;72584;98923
6;SDD auxiliary Utah;2020-11-04T11:13:42;Intelligent Frozen Salad;CANCELLED;PAYPAL;2020-11-04T02:35:53;7073;6807
7;Customer;2020-11-04T21:40:46;Cotton Auto Loan Account;ISSUED;CASH_ON_DELIVERY;2020-11-04T01:57:18;32780;10756
8;Arizona Awesome Fresh Soap system;2020-11-04T07:54:27;Handcrafted Steel Ball CSS;CANCELLED;CREDIT_CARD;2020-11-04T07:43:30;50263;19746
9;applications Generic;2020-11-04T06:09:13;Assurance;ISSUED;CASH_ON_DELIVERY;2020-11-04T20:46:52;36970;88317
10;functionalities bifurcated;2020-11-04T15:54:37;Investment Account;PAID;CREDIT_CARD;2020-11-04T15:54:37;94911;93817
